Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell,Method start line no
TrackMate,fiji.plugin.trackmate.action,RecomputeFeatureAction,recompute,Long Statement,The length of the statement "if (null != settings && null != settings.imp && null != settings.imp.getCalibration()) dt=settings.imp.getCalibration().frameInterval;" is 134.,95
TrackMate,fiji.plugin.trackmate.action,RecomputeFeatureAction,recompute,Long Statement,The length of the statement "for ( final Spot spot : model.getSpots().iterable(false)) spot.putFeature(Spot.POSITION_T`spot.getFeature(Spot.FRAME).intValue() * dt);" is 135.,95
TrackMate,fiji.plugin.trackmate.action,TrackBranchAnalysis,execute,Long Statement,The length of the statement "createBranchTable(trackmate.getModel()`selectionModel`TMUtils.getImagePathWithoutExtension(trackmate.getSettings())).render();" is 126.,56
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInLinearTracksAreClosed,Magic Number,The method contains a magic number: 2,45
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInLinearTracksAreClosed,Magic Number,The method contains a magic number: 2,45
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInLinearTracksAreClosed,Magic Number,The method contains a magic number: 5,45
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInLinearTracksAreClosed,Magic Number,The method contains a magic number: 5,45
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInLinearTracksAreClosed,Magic Number,The method contains a magic number: 2,45
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInLinearTracksAreClosed,Magic Number,The method contains a magic number: 5,45
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingTracksAreClosed,Magic Number,The method contains a magic number: 2,84
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingTracksAreClosed,Magic Number,The method contains a magic number: 2,84
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingTracksAreClosed,Magic Number,The method contains a magic number: 5,84
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingTracksAreClosed,Magic Number,The method contains a magic number: 5,84
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingTracksAreClosed,Magic Number,The method contains a magic number: 8,84
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingTracksAreClosed,Magic Number,The method contains a magic number: 8,84
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingTracksAreClosed,Magic Number,The method contains a magic number: 2,84
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingTracksAreClosed,Magic Number,The method contains a magic number: 5,84
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingTracksAreClosed,Magic Number,The method contains a magic number: 5,84
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingBackwardsTracksAreClosed,Magic Number,The method contains a magic number: 2,126
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingBackwardsTracksAreClosed,Magic Number,The method contains a magic number: 2,126
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingBackwardsTracksAreClosed,Magic Number,The method contains a magic number: 5,126
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingBackwardsTracksAreClosed,Magic Number,The method contains a magic number: 5,126
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingBackwardsTracksAreClosed,Magic Number,The method contains a magic number: 8,126
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingBackwardsTracksAreClosed,Magic Number,The method contains a magic number: 8,126
TrackMate,fiji.plugin.trackmate.action,CloseGapsByLinearInterpolationActionTest,testIfGapsInDividingBackwardsTracksAreClosed,Magic Number,The method contains a magic number: 2,126
